"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"ZVO","ZİRAAT PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON","Serbest Şemsiye Fonu","28,4864","43,1875","21,9221","17,4917","21,1638","-","-"
"URA","ATA PORTFÖY ENERJİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","19,9426","20,1756","-","10,3771","-","-","-"
"YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","18,4077","11,7688","9,7217","5,6853","22,3523","223,5041","805,8875"
"AFT","AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","16,0680","13,8752","19,9092","13,8107","44,8632","287,1032","964,6117"
"ESP","AURA PORTFÖY EMTİA SERBEST FON","Serbest Şemsiye Fonu","15,9388","0,9685","-1,9644","-4,2476","-3,6706","-","-"
"YTD","YAPI KREDİ PORTFÖY YABANCI FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","14,2451","12,1992","15,7069","17,9204","39,6103","193,3464","707,4939"
"AOY","AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","14,1701","18,6787","10,1638","16,0745","-8,4791","31,3082","134,2365"
"GBV","GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","14,0722","11,4496","9,9180","10,5546","43,5469","366,3258","-"
"MTX","TEB PORTFÖY METAVERSE VE DİJİTAL TEKNOLOJİLER DEĞİŞKEN FON","Değişken Şemsiye Fonu","13,4569","11,6240","18,2398","15,4068","35,3002","258,4136","-"
"FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","Serbest Şemsiye Fonu","13,4418","11,3630","14,6144","12,1778","44,8744","245,3419","-"
"FSH","FİBA PORTFÖY FON SEPETİ SERBEST FON","Serbest Şemsiye Fonu","12,6712","9,5512","12,3907","8,5951","31,1211","-","-"
"RBL","QNB PORTFÖY ROBOTİK VE BLOCKCHAİN TEKNOLOJİLERİ SERBEST FON","Serbest Şemsiye Fonu","12,4999","14,5494","-","-","-","-","-"
"GUH","GARANTİ PORTFÖY YABANCI TEKNOLOJİ HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","12,4620","9,6348","8,2251","5,5681","23,0964","201,8046","657,5986"
"IJC","İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","12,3624","-2,3230","-4,8595","-8,7629","-2,6980","234,2787","-"
"YLO","YAPI KREDİ PORTFÖY ELEKTRİKLİ ARAÇLAR DEĞİŞKEN FON","Değişken Şemsiye Fonu","12,2629","10,5661","8,5881","8,9906","18,4776","187,9294","-"
"ZMY","ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON","Değişken Şemsiye Fonu","12,0722","10,7874","17,0477","11,9563","26,7388","315,2720","-"
"HGV","HEDEF PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","12,0557","8,0621","24,2616","20,9439","48,0242","-","-"
"IVY","İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","11,8270","18,6039","4,2591","8,2404","45,8546","284,8707","-"
"BDC","AURA PORTFÖY BODRUM SERBEST FON","Serbest Şemsiye Fonu","11,8118","25,2693","39,1723","34,8417","67,9179","561,7870","-"
"ODP","OSMANLI PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","11,6710","10,8134","16,2041","13,4210","39,0696","240,5104","-"
"IHC","INVEO PORTFÖY INTER SERBEST FON","Serbest Şemsiye Fonu","11,5254","12,7199","18,4876","16,3018","29,9178","298,7835","-"
"IKP","İŞ PORTFÖY YENİLENEBİLİR ENERJİ KARMA FON","Karma Şemsiye Fonu","11,5196","17,1763","18,7865","21,1102","29,2803","164,3417","-"
